pose,model_id,marker_id,marker_x,marker_y,marker_z
1,1,1,0.205598801,0.002588598,0.030041244
1,1,2,0.046355199,0.005435655,0.026323006
1,1,3,0.202814654,0.002343583,0.140066743
1,2,1,0.425400347,0.141232252,0.811856508
1,2,2,0.425028116,0.143471003,0.859379649
1,2,3,0.358776927,0.145054907,0.85648942
1,0,51665,-0.11756064,0.14397873,0.824975491
1,0,51701,0.155094936,0.083809204,0.861884415
1,0,51704,0.283307642,0.089975797,0.85981226
1,0,51705,0.092617966,0.086339064,0.860913336
1,0,51706,0.027387716,0.088732168,0.859007537
1,0,51710,0.219049707,0.085829429,0.860055923
2,1,1,0.200494915,-0.002917252,0.240575984
2,1,2,0.042061433,0.002959237,0.249534726
2,1,3,0.2072822,0.00189499,0.349665552
2,2,1,0.278643847,0.155052438,0.758368611
2,2,2,0.300106764,0.152010202,0.819057107
2,2,3,0.343146324,0.155027866,0.805175126
2,0,50470,0.24983643,0.095903009,0.68871367
2,0,50471,0.20110397,0.085865974,0.642993331
2,0,50478,0.077837385,0.086849213,0.633711874
2,0,50490,0.141515106,0.087544203,0.625448406
2,0,50493,-0.079187192,0.150003612,0.778164089
2,0,50495,0.019478818,0.093949564,0.665970564
3,1,1,0.200383306,-0.002462543,0.239511654
3,1,2,0.042005792,-0.000670739,0.248196423
3,1,3,0.207460687,0.001683719,0.348486602
3,2,1,0.314937383,0.160814613,0.996226549
3,2,2,0.381641239,0.154851675,0.989673615
3,2,3,0.376796961,0.154914618,0.943335176
3,0,50389,0.14170213,0.152563095,0.723212063
3,0,50613,0.121805876,0.09442728,0.967243254
3,0,50616,0.068934217,0.098516971,0.850871801
3,0,50620,0.081334993,0.096946836,0.917682052
3,0,50642,0.177186042,0.101901889,0.997000456
3,0,50714,0.239019305,0.104974054,1.011229634
4,1,1,0.29227069,0.000236626,0.351099551
4,1,2,0.132900625,0.002298965,0.345433712
4,1,3,0.288344711,0.004340699,0.460369617
4,2,1,0.307581127,0.151730061,0.768684089
4,2,2,0.309940279,0.154153407,0.70449698
4,2,3,0.264996648,0.155489922,0.701802552
4,0,50888,0.446732014,0.096183777,0.970941067
4,0,50900,0.514301479,0.103459209,0.963958561
4,0,50917,0.386609823,0.096463092,0.947876453
4,0,50976,0.311113775,0.10588181,0.847473025
4,0,50986,0.340534389,0.100685239,0.905700982
4,0,50991,0.65613544,0.153363049,0.910763741
5,1,1,0.314349711,0.000942985,0.354883641
5,1,2,0.1550439,0.002850108,0.363937676
5,1,3,0.320441931,0.004850382,0.464179635
5,2,1,0.364762872,0.163259864,1.045813203
5,2,2,0.431977123,0.156963587,1.04847455
5,2,3,0.434083343,0.153260708,1.000862837
5,0,51998,0.139357954,0.103104234,0.932851017
5,0,52016,0.289964318,0.106138229,1.049138188
5,0,52542,0.185818613,0.100757375,0.978673875
5,0,52546,0.08090768,0.103027575,0.906996667
5,0,52573,-0.068861105,0.154298365,0.907693863
5,0,52594,0.231473744,0.104809284,1.021220565
6,1,1,0.21229355,-0.002524541,0.00110211
6,1,2,0.052842606,-0.000154406,0.00215969
6,1,3,0.213255584,-0.001193325,0.110519305
6,2,1,0.518046498,0.164926052,1.116924644
6,2,2,0.58501482,0.159543991,1.123011827
6,2,3,0.589627028,0.158453226,1.076755285
6,0,55650,0.387740195,0.107872605,1.088730693
6,0,55699,0.374110043,0.100397944,1.029086709
6,0,55703,0.396721184,0.1019421,0.968730092
6,0,55709,0.442210913,0.109652482,1.116287351
6,0,55710,0.386458635,0.106309563,0.905186534
6,0,55714,0.306233704,0.153909937,0.779605091
7,1,1,0.186748296,-0.000596379,-0.005320671
7,1,2,0.028317384,-0.000431959,0.012187803
7,1,3,0.198579177,-0.00061584,0.10358908
7,2,1,0.201401696,0.160176486,0.990428686
7,2,2,0.167164177,0.154487848,1.044545174
7,2,3,0.204390153,0.159873486,1.070479393
7,0,56175,0.243343145,0.10348358,0.859656751
7,0,56228,0.242226288,0.107265785,0.923428893
7,0,56270,0.42661047,0.151033223,0.601469815
7,0,56322,0.296798259,0.095905259,0.755874097
7,0,56354,0.356710255,0.103338838,0.732643664
7,0,56368,0.247756079,0.100818373,0.796648085
8,1,1,0.099837683,0.004579568,-0.113931037
8,1,2,-0.059366655,0.007596339,-0.118174821
8,1,3,0.097390592,0.004018123,-0.004226755
8,2,1,0.310680628,0.144454718,0.921798348
8,2,2,0.280872077,0.142116785,0.956304431
8,2,3,0.230937749,0.145962954,0.913109899
8,0,51407,0.171197921,0.091575861,0.865873456
8,0,51419,0.042074014,0.142312929,0.984089851
8,0,51420,0.123161711,0.084558919,0.82132864
8,0,51431,-0.033236198,0.08622247,0.85505718
8,0,51432,0.065861329,0.079484455,0.792836428
8,0,51433,0.001095921,0.082316473,0.798310935