phase_angle,radius
-2.0095656931022887,0.05641920151359806
-2.2080513064934686,0.06125458526409986
-2.3727918813437867,0.06708045186833579
-2.516767781193413,0.07327405664461065
-2.6401849600579053,0.07975368779492076
-2.7427006097317848,0.08541214144609986
-2.8373815688396085,0.09048755445897344
-2.9273922619275914,0.09542983000549625
-3.0074037007984744,0.09916181730572698
-3.08200859378705,0.101577230687684
3.121499302530778,0.10340049575241018
3.04730477380374,0.1042060416186648
2.9697132235367936,0.10374051852519667
2.8879871248302798,0.10249842788395261
2.803190771163951,0.10029704847738996
2.712046494845497,0.09720969553932879
2.6107207745772865,0.09338192227416468
2.498992639083337,0.08930859725459672
2.380583137024158,0.08499959260984283
2.2426515207804387,0.0812633774874378
2.091778742895204,0.07775688418973013
1.9308308366276232,0.07523558007007554
1.76042276414515,0.07339674219079062
1.584503651556446,0.07332335212831645
1.40986142192713,0.07404882641891404
1.2454028669238082,0.07565310790789857
1.091349284375266,0.07853742667481729
0.9483351576586091,0.08184818432949728
0.8189136505947393,0.08565359035552123
0.7027692193288795,0.0893001616175238
0.5958636704710467,0.09259224190182472
0.49468536207321984,0.09542541524008813
0.40567683065469295,0.09781433898721212
0.3163602897530394,0.09910505680702897
0.23294783519657603,0.09973148333788445
0.152029097955886,0.09913726376243387
0.07586157399424044,0.09761148960592145
-0.004401279933320065,0.09477379266742633
-0.0863129515690867,0.0909344219809139
-0.17820005093917007,0.08632523744633319
-0.27698523372409634,0.08123176310823528
-0.3910295631049713,0.07538398340072378
-0.5187569660082253,0.0696667733497369
-0.6710775506270255,0.06400228050765654
-0.846665751221129,0.05862271501353747
-1.0554784212353103,0.054379573365554615